Comment,Designator,Footprint,LCSC,Quantity
TLV73333PDBV,U3,SOT-23-5,C134139,1
0.1u,"C1,C5,C6,C7,C9",C_0805_2012Metric,C14663,5
1u,C2,C_0805_2012Metric,C15849,1
10uF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,1
TP4056,U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C16581,1
100,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,1
10k,"R1,R102,R2,R5",R_0805_2012Metric,C17414,4
1k,"R3,R4,R6",R_0805_2012Metric,C17513,3
0R,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17888,1
4.7u,C104,C_0805_2012Metric,C23733,1
39,R101,R_0805_2012Metric,C25110,1
TCR2EF19,U1,SOT-23-5,C2862411,1
DW01,U6,SOT-23-6_Handsoldering,C2927799,1
1u,"C3,C4",C_0805_2012Metric,C52923,2
FS8205A,U7,SOT-23-6_Handsoldering,C908265,1
